"id","kind","layer","methodology_stream","analysis_object","lens_fit","learning_intent","use_when","avoid_when","evidence_or_output","input_requirements","dimensions","complements","conflicts","key_limitation"
"ecosystem-channel-map","framework","analysis_framework","cross","external.industry","Company|Category|Channel|Ecosystem","explain|describe","Ecosystem and channel mapping of actors and exchanges","Estimating demand or financial returns","ecosystem and channel map","actor-data|channel-data|exchange-data","actors|exchanges|intermediaries|platform-dynamics","value-chain-profit-pool","","Can omit informal or hidden actors"
"jtbd-journey","framework","analysis_framework","design_research","external.market","Consumer|Channel","describe|explain","JTBD and journey analysis of progress touchpoints and frictions","Calculating market size or proving behavior","job and journey model","user-interviews|journey-data|friction-evidence","job-to-be-done|progress|frictions|hiring-forces|firing-forces","segmentation-decision-unit","","Interpretation of evidence not evidence itself"
"pricing-unit-economics","framework","analysis_framework","traditional_consulting","internal.economics","Company|Category|Channel|Economics","size|explain","Pricing and unit economics analysis","Proving customers will adopt a price","pricing and economics model","cost-data|price-data|volume-data","unit-cost|unit-price|contribution-margin|customer-lifetime-value","market-sizing-triangulation","","Sensitive to assumptions about cost and volume"
"trend-weak-signal-structural","framework","analysis_framework","traditional_consulting","external.environment","Category|Technology|Future","forecast|explain","Trend weak signal and structural versus cyclical analysis","Claiming a forecast is certain","trend and signal map","trend-data|weak-signal-sources","trend|weak-signal|structural-driver|cyclical-factor","scenario-analogy-causal","scenario-analogy-causal","Signals are ambiguous and lag reality"
"technology-maturity-capability","framework","analysis_framework","traditional_consulting","external.environment","Technology|Category","forecast|compare","Technology maturity and capability assessment","Proving commercial demand","maturity and capability map","technology-data|maturity-signals","maturity-stage|capability-gap|adoption-curve|constraint","trend-weak-signal-structural","","Maturity ratings are contested"
"scenario-analogy-causal","framework","analysis_framework","traditional_consulting","external.environment","Category|Future|Ecosystem","forecast|reframe","Building scenarios analogies and causal models","Claiming direct validation","scenario and causal model","trend-data|analogy-cases|causal-evidence","scenario|analogy|mechanism|causal-driver","trend-weak-signal-structural","trend-weak-signal-structural","Analogies require contextual verification"
"pestel","framework","analysis_framework","traditional_consulting","external.environment","Category|Technology|Regulation|Economics|Future","explore|explain","PESTEL assessment of macro environment factors","Proving consumer needs or behavior","macro environment model","macro-data|policy-records|economic-data","political|economic|social|technological|environmental|legal","trend-weak-signal-structural","","Macro factors may not translate to a specific decision"
"strategic-group-analysis","framework","analysis_framework","traditional_consulting","external.industry","Category","compare|explain","Strategic group analysis grouping competitors by position","Proving consumer needs or behavior","strategic group map","competitor-data|positioning-axes","pricing-axis|quality-axis|scope-axis|mobility-barriers","competitive-benchmarking-positioning","","Group boundaries are interpretive"
"industry-lifecycle","framework","analysis_framework","traditional_consulting","external.industry","Category|Future","explain|forecast","Industry lifecycle stage and transition assessment","Claiming a forecast is certain","lifecycle stage model","industry-data|growth-data","emergence|growth|maturity|decline","five-forces","","Stage labels are contestable and lag reality"
"source-family-triangulation","method","validation_method","cross","cross","Consumer|Company|Category|Channel","validate","Source-family triangulation across independent origins","Counting repeated pages as independent evidence","cross-source confirmation","evidence|claims|sources","","negative-case-disconfirming-search","","Triangulation does not create new data"
"negative-case-disconfirming-search","method","validation_method","cross","cross","Consumer|Company|Category|Channel","validate","Negative-case and disconfirming search against favored claims","Selecting only favorable sources","disconfirming evidence","claims|sources","","contradiction-analysis","","Absence of disconfirmation is not proof"
"contradiction-analysis","method","validation_method","cross","cross","Consumer|Company|Category|Channel","validate","Contradiction analysis preserving conflicting evidence","Silently resolving to the favorable source","preserved contradictions","evidence|conflicting-sources","","negative-case-disconfirming-search","","May leave a conflict unresolved"
"sensitivity-boundary-check","method","validation_method","cross","cross","Category|Economics","validate","Sensitivity and boundary checks on key assumptions","Presenting a single-point estimate as robust","sensitivity range","assumptions|parameters","","alternative-explanation-testing","","Does not identify which assumption is wrong"
"alternative-explanation-testing","method","validation_method","cross","cross","Consumer|Company|Category|Channel","validate","Alternative explanation testing for a favored inference","Treating one explanation as settled","rival explanations","inference|evidence","","sensitivity-boundary-check","","Some alternatives remain untestable now"
"evidence-strength-transferability","method","validation_method","cross","cross","Consumer|Company|Category|Channel","validate","Evidence-strength and transferability checks","Generalizing a strong finding beyond its setting","strength and transferability rating","evidence|findings","","source-family-triangulation","","Transfer depends on contextual similarity"
"pattern-anomaly-detection","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel","reframe|describe","Pattern and anomaly detection across evidence","Forcing noise into a pattern","pattern and anomaly set","evidence-set|findings","pattern|anomaly|exception","tension-finding","","Patterns are interpretive synthesis not new evidence"
"accepted-belief-challenge","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel","reframe","Accepted Belief challenge of unexamined consensus","Assuming consensus equals truth","challenged belief","evidence-set|accepted-beliefs","accepted-belief|evidence-for|evidence-against|reframe","belief-shift-mapping","","May surface a belief with no reframe"
"belief-shift-mapping","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel","reframe|explain","Belief shift mapping of what changed and why","Treating a shift as a validated fact","belief shift map","prior-belief|new-evidence","prior-belief|new-belief|trigger|shift-direction","accepted-belief-challenge","","Shifts may reflect new bias not learning"
"tension-finding","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel","reframe","Tension finding between competing evidence or beliefs","Resolving tension prematurely","recorded tensions","evidence-set|competing-findings","tension|competing-evidence|resolution-status","pattern-anomaly-detection","","Tensions are not yet insights"
"structural-reframe-generation","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel|Future","reframe","Structural reframe generation from colliding lenses","Claiming a reframe is a validated strategy","reframe candidates","lens-findings|evidence","reframe-candidate|colliding-lenses|new-frame","cross-lens-collision","","Reframes need downstream validation"
"cross-lens-collision","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel|Technology|Regulation|Economics|Ecosystem|Future","reframe|compare","Cross-lens collision across 4C and extended lenses","Adding lenses that add no new inference","lens-collision findings","multi-lens-findings","lens-a|lens-b|collision-point|new-inference","structural-reframe-generation","","Collision can multiply noise"
"strategic-relevance-mapping","framework","synthesis_method","cross","cross","Consumer|Company|Category|Channel","explain|reframe","Strategic relevance mapping to future choices","Treating relevance as a chosen strategy","relevance map","findings|future-choices","finding|future-choice|relevance","tension-finding","","Relevance is a judgment not evidence"
"swot","framework","synthesis_method","traditional_consulting","cross","Consumer|Company|Category|Channel","explain|compare","SWOT synthesis of internal and external position","Treating SWOT as a validated strategy decision","SWOT matrix","internal-capabilities|external-factors","strengths|weaknesses|opportunities|threats","","","SWOT can become a list of adjectives without evidence discipline"
